Name,From,To,Type,lossCoeff,max_flow,min_flow,ReturnFlowProportion,cost,Q_var,networkCosts_var,Description
C91_CVPM14,C91,CVPM14,DEF_link,1,391.7,0,,,NULL,,
C91_C92,C91,C92,DEF_link,1,10000000,0,,,NULL,,
C91_GW14,C91,GW14,cost_link,1,10000000,0,,5000,NULL,NULL,
D751_C75,D751,C75,DEF_link,1,10000000,0,,,NULL,,
C75_C90,C75,C90,DEF_link,0.84,74.16,0,,,NULL,,
C75_D845,C75,D845,DEF_link,1,10000000,0,,,NULL,,
D695_D697,D695,D697,DEF_link,1,10000000,0,,,NULL,,
D694_D695,D694,D695,DEF_link,1,10000000,0,,,NULL,,
D694_C46,D694,C46,DEF_link,0.86,0.5,0,,,NULL,,
D691_D694,D691,D694,DEF_link,1,10000000,0,,,NULL,,
D619_D691,D619,D691,DEF_link,1,10000000,0,,,NULL,,
D733_D619,D733,D619,DEF_link,1,10000000,0,,,NULL,,
D732_D733,D732,D733,DEF_link,1,10000000,0,,,NULL,,
D732_Mendota,D732,Mendota,DEF_link,0.85,10000000,0,,,NULL,,
Mendota_D615,Mendota,D615,DEF_link,0.25,10000000,0,,,NULL,,
D615_D640,D615,D640,DEF_link,1,10000000,0,,,NULL,,
D640_D694,D640,D694,DEF_link,1,10000000,0,,,NULL,,
D608_C91,D608,C91,DEF_link,0.99,4.9,0,,,NULL,,
D608_D731,D608,D731,DEF_link,1,10000000,0,,,NULL,,
D608_C90,D608,C90,DEF_link,0.84,17,0,,,NULL,,
D731_C84,D731,C84,DEF_link,0.9,118.1,0,,,NULL,,
D731_D732,D731,D732,DEF_link,1,10000000,0,,,NULL,,
D731_C46,D731,C46,DEF_link,0.86,10.3,0,,,NULL,,
C90_CVPM15,C90,CVPM15,DEF_link,1,10000000,0,,,NULL,,
C90_C75,C90,C75,DEF_link,1,10000000,0,,,NULL,,
